Symbol,HeadNeck,Body,Extremities,PalmSole,Perinaeum
NOC2L,42.9117106,34.95270165,32.46686161,27.97169483,43.64673301
NOC2LP1,0.66456092,0.696205948,0.577901812,0.66981098,5.245642785
NOC3L,16.80757025,11.75555733,12.57603649,11.38487971,15.95775054
NOC4L,17.62701998,17.8615199,17.37615998,16.58052268,23.7303149
NOCT,7.480801312,4.716971373,3.102931792,2.671049731,7.893961028
NOD1,7.366151659,7.840784854,9.10499254,9.106701537,13.83760893
NOD2,12.75040759,11.64937599,10.87315863,8.646451715,19.75884485
NODAL,0.630208138,0.900222417,1.211013652,1.38667742,5.397953968
NOG,1.378804104,0.946364876,1.634882435,1.84935566,5.221509175
NOL10,16.27346623,13.6857928,14.08397562,14.50728815,16.15797821
NOL11,29.76491175,26.66892611,23.96000847,22.03397379,25.82108883
NOL12,3.5480022,2.769874191,2.726348907,2.296881652,8.516913802
NOL3,36.29312206,45.2767441,34.43309907,27.64763569,43.62232998
NOL4L,4.013418366,4.013278027,4.576461818,5.311011256,7.361511081
NOL6,21.28317441,21.34856669,19.27441052,17.13571526,24.13980489
NOL7,76.73413815,73.87590245,76.03818165,80.15706066,61.35650191
NOL8,13.14338843,10.29407631,11.23951636,11.20209948,14.66430966
NOL9,7.425781499,7.485259514,7.478445423,7.008999031,12.59152611
NOLC1,50.13884985,39.15994736,39.49325834,40.69384394,36.41753434
NOM1,8.875052793,8.287864101,7.813516242,7.154662661,11.80738749
NOMO1,20.29931399,21.23237772,19.19317936,19.931693,18.4136699
NOMO2,10.73454049,9.898470456,9.58393825,10.59418638,10.16022279
NOMO3,2.006479086,2.368903629,1.903440991,2.08439482,5.88541932
NONO,111.4335516,104.5153154,95.25860198,94.96845134,77.60417485
NONOP2,2.563098619,1.998249666,2.081097185,1.98428074,6.474225863
NOP10,220.4976967,196.6760896,174.2464483,153.3076207,214.4804132
NOP14,32.78173175,29.02466836,27.86950869,27.35889204,28.30566881
NOP16,66.31771733,54.89986052,48.41568406,42.79413193,60.54899159
NOP2,0.52179209,0.414792622,0.327869845,0.228727425,5.152977981
NOP53,316.3289133,374.7832069,326.7698698,292.6599003,315.7874934
NOP56,31.38926151,30.19026349,28.86307175,24.7359051,39.96999975
NOP58,46.33071836,32.58580119,35.58476506,34.47489212,38.08684811
NOP9,26.51583658,24.76576426,23.97060262,23.12756531,25.47476761
NORAD,197.2282056,175.1391842,201.1372618,224.5658556,149.5019329
